"Program","Year","State","State.ANSI","Data.Item","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"ALABAMA",1,"ACRES BEARING","TOTAL","NOT SPECIFIED","162","16.9"
"CENSUS",2022,"ALABAMA",1,"ACRES GROWN","TOTAL","NOT SPECIFIED","171","17.5"
"CENSUS",2022,"ALABAMA",1,"BEARING","TOTAL","NOT SPECIFIED","9","80.0"
"CENSUS",2022,"ALABAMA",1,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","107","19.7"
"CENSUS",2022,"ALABAMA",1,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","119","17.5"
"CENSUS",2022,"ALABAMA",1,"BEARING","TOTAL","NOT SPECIFIED","18","26.9"
"CENSUS",2022,"ALASKA",2,"ACRES BEARING","TOTAL","NOT SPECIFIED","11","(L)"
"CENSUS",2022,"ALASKA",2,"ACRES GROWN","TOTAL","NOT SPECIFIED","14","(L)"
"CENSUS",2022,"ALASKA",2,"BEARING","TOTAL","NOT SPECIFIED","3","(L)"
"CENSUS",2022,"ALASKA",2,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","45","(L)"
"CENSUS",2022,"ALASKA",2,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","50","(L)"
"CENSUS",2022,"ALASKA",2,"BEARING","TOTAL","NOT SPECIFIED","8","(L)"
"CENSUS",2022,"ARIZONA",4,"ACRES BEARING","TOTAL","NOT SPECIFIED","3","29.4"
"CENSUS",2022,"ARIZONA",4,"ACRES GROWN","TOTAL","NOT SPECIFIED","4","33.8"
"CENSUS",2022,"ARIZONA",4,"BEARING","TOTAL","NOT SPECIFIED","1","93.3"
"CENSUS",2022,"ARIZONA",4,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","16","25.8"
"CENSUS",2022,"ARIZONA",4,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","24","15.8"
"CENSUS",2022,"ARIZONA",4,"BEARING","TOTAL","NOT SPECIFIED","9","38.0"
"CENSUS",2022,"ARKANSAS",5,"ACRES BEARING","TOTAL","NOT SPECIFIED","116","33.4"
"CENSUS",2022,"ARKANSAS",5,"ACRES GROWN","TOTAL","NOT SPECIFIED","128","33.0"
"CENSUS",2022,"ARKANSAS",5,"BEARING","TOTAL","NOT SPECIFIED","12","42.1"
"CENSUS",2022,"ARKANSAS",5,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","71","36.0"
"CENSUS",2022,"ARKANSAS",5,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","80","35.7"
"CENSUS",2022,"ARKANSAS",5,"BEARING","TOTAL","NOT SPECIFIED","24","34.2"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","138","(H)"
