"Program","Year","State","State.ANSI","Data.Item","Domain","Value","CV...."
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","3,900",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","71,400",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (TOTAL)","89,700",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","0.078",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","0.923",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","0.315",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","5.892",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","4.1",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","6.4",""
"SURVEY",2023,"CALIFORNIA",6,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","29",""
"SURVEY",2023,"CALIFORNIA",6,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""
"SURVEY",2023,"CALIFORNIA",6,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","28",""
"SURVEY",2023,"CALIFORNIA",6,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, HERBICIDE: (TOTAL)","29",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PENOXSULAM = 119031)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PENOXSULAM = 119031)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)"," (D)",""
"SURVEY",2023,"FLORIDA",12,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)"," (D)",""
