"Program","Year","State","Domain.Category","APPLICATIONS, MEASURED IN LB","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","APPLICATIONS, MEASURED IN NUMBER, AVG","TREATED, MEASURED IN PCT OF AREA BEARING, AVG","Herbicide.ID","Acute Toxic","Corrosive","Environmental Hazard","Flammable","Health Hazard","Irritant","Additional.Info"
"SURVEY",1990,"FLORIDA","GLYPHOSATE = 417300","300","1.2","2.68","2.2","2",417300,0,1,1,0,0,0,"H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H411: Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"FLORIDA","NAPROPAMIDE = 103001","3,100","1.21","1.51","1.2","37",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"FLORIDA","PARAQUAT = 61601","4,100","0.49","0.92","1.9","81",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"FLORIDA","TOTAL",NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1990,"MICHIGAN","2,4-D = 30001","500","1.01","1.26","1.2","16",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"MICHIGAN","CHLOROXURON = 25501","400","2.86","2.86","1","6",25501,0,0,1,0,0,1,"H332 (55.7%): Harmful if inhaled [Warning Acute toxicity, inhalation]

H400 (95.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (40%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"MICHIGAN","DCPA = 78701","2,000","6.69","7.11","1.1","12",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1990,"MICHIGAN","DIPHENAMID = 36601","800","3.25","3.25","1","10",36601,0,0,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"MICHIGAN","NAPROPAMIDE = 103001","3,300","2.25","2.63","1.2","53",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"MICHIGAN","SETHOXYDIM = 121001","100","0.34","0.36","1.1","12",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
